term;c1;c2;c3;c4;pwc1;pwc2;pwc3;pwc4;pc1;pc2;pc3;pc4
 immunity ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 becomes ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 architecture ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 change ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 synthetic ;1;0;4;1;0.000423728813559322;0.00042176296921130323;0.000860141063134354;0.0005780346820809249;21;3;24;9
 lower ;6;0;1;0;0.0014830508474576272;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 partitioning ;2;0;4;0;0.000635593220338983;0.00042176296921130323;0.000860141063134354;0.00028901734104046245;21;3;24;9
 impact ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 covariance ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 differential ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 discriminative ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 merged ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 characteristics ;3;0;2;0;0.000847457627118644;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 orders ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 gives ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 outputs ;0;2;0;0;0.000211864406779661;0.0012652889076339097;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 maximum ;0;0;3;0;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 via ;2;1;2;1;0.000635593220338983;0.0008435259384226065;0.0005160846378806125;0.0005780346820809249;21;3;24;9
 adjacent ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 approximation ;0;0;5;2;0.000211864406779661;0.00042176296921130323;0.001032169275761225;0.0008670520231213873;21;3;24;9
 hold ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 audit ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 classifier ;10;2;1;0;0.0023305084745762713;0.0012652889076339097;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 hac ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 unlabeled ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 strong ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 accommodation ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 measured ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 equations ;0;0;3;1;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.0005780346820809249;21;3;24;9
 modified ;3;0;2;0;0.000847457627118644;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 rank ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 among ;2;0;1;0;0.000635593220338983;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 edges ;1;0;3;5;0.000423728813559322;0.00042176296921130323;0.0006881128505074832;0.0017341040462427746;21;3;24;9
 distortion ;5;0;5;0;0.001271186440677966;0.00042176296921130323;0.001032169275761225;0.00028901734104046245;21;3;24;9
 translational ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 rich ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 descriptors ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 underlying ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 power ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 activities ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 aiming ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 novel ;5;0;7;3;0.001271186440677966;0.00042176296921130323;0.0013762257010149664;0.0011560693641618498;21;3;24;9
 quantization ;5;0;3;0;0.001271186440677966;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 consisting ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 dagsvm ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 consider ;0;0;4;1;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.0005780346820809249;21;3;24;9
 characterized ;1;0;0;1;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 contour ;0;0;10;0;0.000211864406779661;0.00042176296921130323;0.0018923103388955788;0.00028901734104046245;21;3;24;9
 confirm ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 displays ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 operation ;0;0;0;2;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0008670520231213873;21;3;24;9
 stereo ;0;0;9;0;0.000211864406779661;0.00042176296921130323;0.001720282126268708;0.00028901734104046245;21;3;24;9
 concentrates ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 phenomenon ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 curves ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 imposes ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 fukunaga ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 degradation ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 concatenation ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 carved ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 alternative ;3;0;1;0;0.000847457627118644;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 submit ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 unsharp ;0;0;0;3;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0011560693641618498;21;3;24;9
 favorably ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 ms ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 done ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 navigation ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 grayscale ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 colored ;0;0;0;2;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0008670520231213873;21;3;24;9
 simulating ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 pr ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 spline ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 reasonably ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 archives ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 weighting ;0;0;4;0;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.00028901734104046245;21;3;24;9
 criterion ;5;0;1;0;0.001271186440677966;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 layer ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 examined ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 margin ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 artefacts ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
