id#url#category#name#description
1#https://www.e-katalog.ru/NIKON-18-105MM-F-3-5-5-6G-ED-VR-AF-S-DX-NIKKOR.htm#Объектив#Nikon 18-105mm f/3.5-5.6G ED VR AF-S DX Nikkor#Объектив универсального типа под системы Nikon с матрицами APS-C. Имеет неплохой диапазон фокусных расстояний — 18-105 мм; светосила составляет от 3,5 до 5,6. Автофокусировка у Nikon 18-105mm обеспечивается ультразвуковым приводом, дополнительно предусмотрен стабилизатор изображения. Может послужить хорошим решением для съемки широкого спектра сюжетов.
2#https://www.e-katalog.ru/CANON-EF-24-105MM-F-4-0L-IS-USM.htm#Объектив#Canon EF 24-105mm f/4.0L IS USM#Canon EF 24-105mm — объектив универсального назначения, за счёт хорошего диапазона фокусных расстояний (24-105 мм) подойдёт и для широкоугольной съёмки, и для приближения объектов; к тому же он оснащён стабилизатором изображения и заявлен производителем как пыле- и влагонепроницаемый. Значение светосилы постоянно на всех фокусных расстояниях — 4. Объектив рассчитан на системы Canon с матрицами Full frame.
3#https://www.e-katalog.ru/CANON-EF-24-70MM-F-2-8L-USM.htm#Объектив#Canon EF 24-70mm f/2.8L USM (8014A008)#Продвинутый «универсал»: при диапазоне фокусных расстояний 24-70 мм имеет неизменную светосилу f/2.8. Применяется для систем Canon с байонетом EF и матрицами full frame. Конструкция включает 16 элементов в 13 группах, а для автофокусировки используется ультразвуковой мотор. Диафрагма, правда, имеет всего 6 лепестков. 
4#https://www.e-katalog.ru/CANON-EF-100MM-F-2-8L-MACRO-IS-USM.htm#Объектив#Canon EF 100mm f/2.8L Macro IS USM (3554B005)#Специализированный фикс-объектив для макросъёмки, рассчитанный на системы Canon с байонетами EF и матрицами full frame. Имеет фокусное расстояние 100 мм, минимальную дистанцию фокусировки 0,3 м и обеспечивает увеличение макро на уровне 1. Оснащён стабилизатором изображения, автофокусировку обеспечивает ультразвуковой мотор. Диафрагма — 9-лепестковая, с минимальным значением 32.
5#https://www.e-katalog.ru/CANON-EF-17-40MM-F-4-0L-USM.htm#Объектив#Canon EF 17-40mm f/4.0L USM (8806a007)#Широкоугольный объектив под системы Canon с байонетами EF и матрицами full frame. Имеет неизменную светосилу в f/4 на всём диапазоне фокусных расстояний, который составляет 17-40 мм. Автофокусировка осуществляется ультразвуковым мотором. Диафрагма — 7-лепестковая, с минимальным значением 22.
6#https://www.e-katalog.ru/NIKON-16-85MM-F-3-5-5-6G-ED-AF-S-DX-VR-NIKKOR.htm#Объектив#Nikon 16-85mm f/3.5-5.6G ED AF-S DX VR Nikkor#Универсальный объектив с уклоном в сторону широкоугольной съёмки — имеет минимальное фокусное расстояние в 16 мм (максимальное — 85 мм). Предназначен для систем Nikon с байонетом F и матрицей APS-C. Привод автофокусировки — ультразвуковой, также оснащение включает стабилизатор изображения и 7-лепестковую диафрагму с минимальным значением 22.
7#https://www.e-katalog.ru/CANON-EF-85MM-F-1-8-USM.htm#Объектив#Canon EF 85mm f/1.8 USM#Фикс-объектив «студийно-портретной» направленности — Canon EF 85mm имеет фокусное расстояние 85 мм. Рассчитан на использование с системами Canon с матрицами Full frame. Светочувствительность — 1,8, диафрагма с минимальным значением 22 имеет 8 лепестков. Привод автофокуса — ультразвуковой.
8#https://www.e-katalog.ru/NIKON-24-70MM-F-2-8G-ED-AF-S-NIKKOR.htm#Объектив#Nikon 24-70mm f/2.8G ED AF-S Nikkor#Универсальный объектив под системы Nikon, главной особенностью которого является неизменная светосила f/2.8 на всём диапазоне фокусных расстояний в 24-70 мм. Рассчитан на системы Nikon с матрицей full frame и байонетом Nikon F. Диафрагма — 9-лепестковая, с минимальным значением 22. Привод автофокуса обеспечивается ультразвуковым мотором. 
9#https://www.e-katalog.ru/CANON-EF-50MM-F-1-4-USM.htm#Объектив#Canon EF 50mm f/1.4 USM (2515a012)#В классе «фиксов» объектив Canon EF 50mm выделяется хорошим значением светосилы — 1,4; его диафрагма оснащена 8 лепестками, а минимальное её значение составляет 22. Рассчитан под системы Canon и матрицы Full frame, фокусировка обеспечивается ультразвуковым мотором.
10#https://www.e-katalog.ru/CANON-EF-50MM-F-1-8-II.htm#Объектив#Canon EF 50mm f/1.8 II#Canon EF 50mm — фикс-объектив под матрицы full frame на системах Canon, с классическим фокусным расстоянием 50 мм. Светосила — 1,8, минимальное значение диафрагмы составляет 22 (правда, всего с 5 лепестками).
11#https://www.e-katalog.ru/CANON-EF-S-17-55MM-F-2-8-IS-USM.htm#Объектив#Canon EF-S 17-55mm f/2.8 IS USM (1242B005)#Универсальный объектив под системы Canon с матрицами APS-C, по диапазону фокусных расстояний (17-55 мм) лишь слегка выходящий за рамки широкоугольных, с фиксированной светосилой 2,8 на всём диапазоне. Оснащён трёхступенчатым стабилизатором изображения и ультразвуковым приводом автофокусировки. 
12#https://www.e-katalog.ru/CANON-EF-135MM-F-2-0L-USM.htm#Объектив#Canon EF 135mm f/2.0L USM (2520A015)#Телеобъектив с довольно специфическим набором характеристик: при фиксированном фокусном расстоянии 135 мм он имеет светосилу 2.0 и заявлен производителем как самый лёгкий в своём классе и хорошо подходящий, в частности, для съёмок спортивных мероприятий в помещении. Рассчитан под системы Canon с матрицами Full frame. Минимальное значение диафрагмы составляет 32. Автофокус обеспечивается ультразвуковым приводом.
